code,current,name,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,disciplines,events,birth_place,birth_country,residence_place,residence_country,occupation,lang,age,medal_date,medal_type,medal_code,discipline,event,event_type,is_medallist,medallist_binary,in_team
1568818,True,HOCKOVA Vanesa,Female,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Shooting'],['Skeet Women'],TRNAVA,Slovakia,ZVONCIN,Slovakia,Athlete,"English, Slovak",24,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568822,True,JANY Patrik,Male,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men']",BANSKA STIAVNICA,Slovakia,BANSKA STIAVNICA,Slovakia,"Soldier, athlete","Czech, English, Slovak",26,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568824,True,JENCUSOVA Nora,Female,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Cycling Road'],"[""Women's Road Race"", ""Women's Individual Time Trial""]",SPISSKA NOVA VES,Slovakia,SPISSKA NOVA VES,Slovakia,Athlete,"English, German, Italian, Slovak",22,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568827,True,KATERINKA CZAKOVA Maria,Female,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",NITRA,Slovakia,NITRA,Slovakia,Athlete,"English, Hungarian, Slovak",35,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568829,True,KOVACOCY Marian,Male,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Shooting'],['Trap Men'],TRNAVA,Slovakia,TRNAVA,Slovakia,"Athlete, police officer","English, Slovak",39,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568831,True,KUBIS Lukas,Male,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Cycling Road'],"[""Men's Road Race""]",ZVOLEN,Slovakia,DETVIANSKA HUTA,Slovakia,Athlete,Slovak,24,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568842,True,MORVAY Michal,Male,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Athletics'],['Marathon Race Walk Relay Mixed'],NITRA,Slovakia,unspecified,unspecified,Athlete,"English, Slovak",27,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568845,True,PANKOVA Zuzana,Female,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Canoe Slalom'],"[""Women's Canoe Single"", ""Women's Kayak Cross""]",KOSICE,Slovakia,unspecified,Slovakia,"Athlete, student",Slovak,19,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568851,True,REHAK STEFECEKOVA Zuzana,Female,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Shooting'],['Trap Women'],NITRA,Slovakia,BRATISLAVA,Slovakia,Athlete,"English, German, Italian, Slovak, Spanish",40,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
1568862,True,JESSICA Triebelova,Female,Athlete,SVK,Slovakia,Slovakia,Slovakia,Slovakia,SVK,['Boxing'],"[""Women's 66kg""]",TRSTENA,Slovakia,KLIN,Slovakia,Athlete,"English, Russian, Slovak",23,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,not_medalist,False,0,False
